,logFC,AveExpr,t,P.Value,adj.P.Val,B
PGPEP1,-0.988446697465639,10.0135160064516,-5.15264759879749,1.90601431127368e-05,6.69975870600877e-05,2.55982140647458
ACSM3,-1.45971159677529,10.6330667062292,-5.15258490063167,1.9063384584018e-05,6.69975870600877e-05,2.55965381842735
THADA,-0.791644740185832,7.87767033911154,-5.15253437123167,1.90659973370996e-05,6.69975870600877e-05,2.55951875668846
TOR2A,-1.26212119313434,6.16541919286867,-5.1524016920019,1.90728595690778e-05,6.70094527075149e-05,2.55916411390845
TBC1D14,-1.38394920328154,9.18552022153388,-5.15062854179555,1.91648058571264e-05,6.73201886722556e-05,2.55442460279092
SLC26A1,-1.96979002836207,8.5866974724782,-5.15017809504559,1.91882343982387e-05,6.73867560693524e-05,2.55322058952007
TFCP2L1,-2.63506587208973,3.60063125355454,-5.15012944133729,1.91907666829495e-05,6.73867560693524e-05,2.55309054150909
EMCN,-1.21417056981822,6.1223452955508,-5.1497818539632,1.92088673532621e-05,6.74379976016187e-05,2.55216146448528
ATP5MF,-0.973844784170188,8.94431341482071,-5.14909599236161,1.92446339543028e-05,6.75512301938052e-05,2.55032820428547
GATD3B,-2.56912141099778,3.35102723104424,-5.14897748091616,1.92508209037244e-05,6.75533447144518e-05,2.55001143152436
CYB5D2,-0.984474750207326,9.15332094268487,-5.14893205966393,1.92531926717424e-05,6.75533447144518e-05,2.54989002371575
PAFAH2,-0.944912526154049,8.92307345384553,-5.14888255795727,1.92557778431832e-05,6.75533447144518e-05,2.54975770914294
PLA2G12A,-0.936648758692797,9.17286289781359,-5.14877846683076,1.92612150219919e-05,6.75600910048887e-05,2.54947948090939
TMEM164,-1.5525316975725,5.98150785047114,-5.1483710366507,1.92825118676347e-05,6.76224536036624e-05,2.54839044894128
AFG3L2,-1.18941552981459,9.84118286020823,-5.14786592542449,1.93089474063339e-05,6.77028112140743e-05,2.54704032279145
OXSR1,-1.27121907503232,8.12952169625879,-5.14774899483468,1.93150722738043e-05,6.77119373566536e-05,2.54672777574784
PARG,-1.27445203659835,6.65859969135156,-5.14764161249284,1.93206987168781e-05,6.77193131872346e-05,2.54644075050102
SLC18A2,-2.60409958490383,2.71018532506322,-5.14728619199438,1.93393331817374e-05,6.77722713122314e-05,2.54549073729235
STK25,-1.15747448201216,8.89846897091077,-5.14691867151905,1.93586209970542e-05,6.78274993016889e-05,2.54450838192541
KLHL4,-2.18213226297429,2.93360898546542,-5.14595467780464,1.94093039998937e-05,6.7992687572514e-05,2.54193169820317
IDE,-1.20503215283741,8.47331048953282,-5.14583796878503,1.94154491261107e-05,6.80018235469991e-05,2.5416197437501
LRRFIP1,-0.922892233408739,9.96486758218034,-5.14546645043424,1.94350238240843e-05,6.8057984156288e-05,2.54062670322486
RRP1,-0.939660462920779,7.17437479656097,-5.14529784181196,1.9443914066802e-05,6.80767160688888e-05,2.54017602517454
GMFB,-1.04942372602603,8.10518342933909,-5.14471263880992,1.94748017761574e-05,6.81615059293979e-05,2.5386118223502
POLDIP3,-1.11001853448652,9.10087235273305,-5.14470467462757,1.94752224743918e-05,6.81615059293979e-05,2.53859053470466
PROC,-1.22685310814899,12.2864067770932,-5.1446066004097,1.94804038727787e-05,6.81672103645514e-05,2.53832838988916
MED21,-1.20471395681115,6.75335874053402,-5.14453960984775,1.94839438727287e-05,6.81672103645514e-05,2.53814932929701
TENT5C,-1.4102037717958,7.1295009847557,-5.14424259955403,1.94996466388426e-05,6.82097355589063e-05,2.53735544384594
NAP1L3,-1.92565767476859,3.88557121980535,-5.1435018107314,1.95388670523716e-05,6.83344950121602e-05,2.53537537356126
ZNF253,-1.51335000245564,6.28422463459731,-5.14337713658971,1.95454755888095e-05,6.83451742806225e-05,2.53504212948423
SLC15A4,-1.26683711178966,7.90226908905988,-5.14284483820802,1.95737160740118e-05,6.84314769090518e-05,2.53361933853395
DCUN1D2,-1.78032207176006,5.85691736811277,-5.14273224930237,1.95796945914638e-05,6.84399324583438e-05,2.53331839747629
KLHL33,-2.0133803889367,1.40476694590866,-5.14251183869966,1.95914037878808e-05,6.84684126198888e-05,2.53272925779823
CFL2,-1.10241531702025,10.5547047950876,-5.14196066393731,1.9620715402155e-05,6.85583885144364e-05,2.53125601276007
EGFLAM,-2.02009981887598,6.02491974988071,-5.14135560488591,1.96529432394246e-05,6.86585196761655e-05,2.52963874015423
BRAT1,-1.67350963001906,7.86074017389357,-5.14107081295664,1.96681307525501e-05,6.8699094062096e-05,2.52887751524377
ZFYVE9,-1.36887331096744,8.40192444394056,-5.14091349017361,1.96765255796205e-05,6.87150197776894e-05,2.52845700473188
RNMT,-1.04342931864682,7.52949205761236,-5.14085141946107,1.96798386941981e-05,6.87150197776894e-05,2.52829109497451
FBXW5,-1.58532532749927,10.839243489825,-5.14056405535679,1.96951844633325e-05,6.87481960258952e-05,2.5275229951734
IGBP1,-1.03874708661299,8.51418261409166,-5.14053957599438,1.9696492260631e-05,6.87481960258952e-05,2.52745756392891
MAPK9,-1.20366173563025,8.19461285436916,-5.14046611013848,1.97004176589514e-05,6.87494154099365e-05,2.52726119598015
ZCCHC8,-1.20988718005526,7.55084694034193,-5.1403644297254,1.97058519006317e-05,6.87558988728936e-05,2.52698941295334
ZBED5,-1.03618031709722,6.27463235825748,-5.14004706431783,1.97228229529439e-05,6.87933027350206e-05,2.52614112257742
ABCA3,-1.40904073231971,5.69432335499805,-5.14003013378139,1.97237287217391e-05,6.87933027350206e-05,2.52609586871943
MIEN1,-1.04934955244455,8.05454225749133,-5.13969557293848,1.97416359917385e-05,6.88432708037679e-05,2.52520161668884
DGCR8,-1.17918434753075,7.62264002907794,-5.13952278667767,1.97508907089031e-05,6.88630529341065e-05,2.52473977414513
RASL11A,-1.20771651379496,5.59143151260919,-5.13922179334822,1.97670228004701e-05,6.89008374070198e-05,2.52393524550124
C16orf87,-1.22355859259747,7.22492507974937,-5.13918686533572,1.97688956638294e-05,6.89008374070198e-05,2.52384188601576
PSMC2,-1.02543789085586,9.83992649271089,-5.13837241248207,1.98126176591713e-05,6.90407059085678e-05,2.52166492646488
NDUFV3,-1.38971710657207,8.95017382375934,-5.13811266950611,1.98265817371919e-05,6.90768455776577e-05,2.52097065708758
RNF185,-1.06516235821614,9.26391954218736,-5.13701065451758,1.98859371699003e-05,6.92710893443255e-05,2.51802507302523
FAM204A,-0.983950879973191,7.59158401757669,-5.13586735286598,1.99477046779548e-05,6.94655871649734e-05,2.51496913687079
VMA21,-1.2571144694285,7.542636288173,-5.1358434323455,1.99489990500816e-05,6.94655871649734e-05,2.51490519964084
MBTPS1,-1.29379457527954,10.1538235914657,-5.13567198500574,1.99582787659948e-05,6.94853149721568e-05,2.51444693758486
DAGLB,-0.966928523177199,7.64151737960902,-5.13544340236025,1.99706577065161e-05,6.95158237204006e-05,2.51383595854172
C9,-1.49563640976609,13.9414729497421,-5.13462506602754,2.00150380364948e-05,6.96576948319356e-05,2.5116486267963
TTLL4,-1.13642653504223,6.43460726811053,-5.13434545207052,2.00302248266048e-05,6.96979316364663e-05,2.5109012468931
FETUB,-0.920139170572307,11.553847391361,-5.13425073952289,2.00353716084368e-05,6.97032246058991e-05,2.51064808985762
SLC16A5,-1.31415890270319,4.53008249448195,-5.13394125441674,2.00521986107458e-05,6.97438857414664e-05,2.50982086773334
PRDM4,-1.30686476108296,6.72366421030156,-5.13384501844204,2.00574339410436e-05,6.97438857414664e-05,2.50956363884499
UEVLD,-0.813877374462279,7.08012948935508,-5.13379621409158,2.00600894687971e-05,6.97438857414664e-05,2.50943318983299
RAB37,-1.28209323267066,7.68341454743447,-5.13376900242632,2.00615702548925e-05,6.97438857414664e-05,2.50936045585199
SMARCAL1,-1.14140144767535,7.13648297239295,-5.13249792122145,2.01308613753956e-05,6.99721225713218e-05,2.50596298905396
ALDOA,-1.03845248548998,10.5367891252324,-5.1322810584822,2.01427072709486e-05,7.00006412299325e-05,2.50538333817814
DCAF5,-0.897729300739226,9.39819039481427,-5.13208655004936,2.01533380325018e-05,7.00249274669884e-05,2.50486343809305
SNX1,-1.17663594753478,9.81396240266963,-5.13186790466722,2.01652947037789e-05,7.00538111095318e-05,2.50427902268371
CCDC38,-2.04915518857918,3.58142183891932,-5.13160308228058,2.0179786100516e-05,7.00914883075736e-05,2.50357118134722
TMEM120B,-1.37394170961451,5.13114523525421,-5.13152225916875,2.01842109170813e-05,7.00941934394668e-05,2.50335515003457
SPRY3,-1.4226329395714,3.84486851432333,-5.13102437469312,2.0211490023718e-05,7.01762499017481e-05,2.50202435990255
TARDBP,-1.02756387275848,8.89030382738273,-5.13095758010531,2.02151525127784e-05,7.01762923543094e-05,2.50184582541814
PLA2G4A,-2.18244973528736,3.4658773031968,-5.13082874786714,2.02222185377044e-05,7.01881479305591e-05,2.50150147125345
CXXC4,-1.66979235915722,4.93746505244847,-5.13026206463897,2.02533286679224e-05,7.02768935471536e-05,2.49998679100281
ZNF395,-0.936077169935656,9.35385996356636,-5.13022985413509,2.02550984210548e-05,7.02768935471536e-05,2.49990069599651
PFDN1,-0.807747570049021,7.42957991192047,-5.12945445125172,2.02977484852524e-05,7.04121643141423e-05,2.49782813349606
METAP1D,-1.26978560707577,5.73062690512696,-5.12897271091787,2.03242913492691e-05,7.04869943440961e-05,2.49654049815489
RMND1,-1.02539307719803,8.65627467821072,-5.12892988551734,2.03266526212571e-05,7.04869943440961e-05,2.49642603092683
CHCHD7,-1.02303141540674,7.44298692879441,-5.12851738054792,2.03494110740469e-05,7.0546468637433e-05,2.49532345428071
MAP4K1,-1.74724829063256,4.61432621326221,-5.12848601630891,2.03511425260444e-05,7.0546468637433e-05,2.49523962143014
TCAIM,-1.27388306651065,9.3403378620586,-5.12821637547002,2.03660340509132e-05,7.05853622911135e-05,2.49451890393761
MMP25,-2.02220071774733,2.87295875248138,-5.12781072685096,2.03884574981905e-05,7.0646554289964e-05,2.4934346545101
CDKN2AIPNL,-1.25128474850635,6.55534278198191,-5.12776405054416,2.03910392590382e-05,7.0646554289964e-05,2.49330989445589
SEPTIN8,-1.33422750199755,7.41320386559645,-5.12701692047927,2.04324091787154e-05,7.07771290920365e-05,2.49131290831915
GPIHBP1,-1.62968470936796,4.72201959260676,-5.12670495531102,2.04497081416544e-05,7.08148650466933e-05,2.49047906465987
CPNE8,-1.40401675017281,6.34636883445738,-5.12668761717474,2.04506699994404e-05,7.08148650466933e-05,2.49043272201268
PITPNB,-1.07905972078833,9.30389866469518,-5.12635121413787,2.04693414179481e-05,7.08667546839639e-05,2.48953355942768
NOP56,-0.971511571106396,8.20240469510879,-5.12611151688969,2.04826557909977e-05,7.0900082387816e-05,2.48889287938832
SLC25A5,-1.17318418819396,12.0852551462341,-5.12600627386708,2.04885044286886e-05,7.09075603315102e-05,2.48861157833838
MTURN,-2.24471224001023,6.10132694377184,-5.12516891129455,2.05350986216409e-05,7.10560242982443e-05,2.48637341748169
RARS1,-1.11476078883397,8.97594853828043,-5.124414472575,2.05771695790075e-05,7.11887862437322e-05,2.48435690356871
PARP12,-1.02453066204244,7.73527275307149,-5.12417654133753,2.05904556313898e-05,7.12147950593196e-05,2.48372094561737
RAB11FIP3,-1.56573431079201,8.16032497393835,-5.12414717559826,2.05920960070095e-05,7.12147950593196e-05,2.48364245499168
VAT1L,-2.32853415975823,4.27913945544696,-5.12367176781611,2.06186706125074e-05,7.12938745549378e-05,2.4823717551484
SETD7,-1.32480181333813,10.82631889789,-5.12299433639552,2.0656597466901e-05,7.14121716060371e-05,2.48056107537566
MLPH,-1.29001820248023,7.71087343671108,-5.12165885549433,2.07315710482298e-05,7.16584777781765e-05,2.47699152656694
USP21,-1.2769110798718,6.24689308322845,-5.12156726375037,2.07367229734581e-05,7.1663400892456e-05,2.47674671525156
ADH5,-1.03064735104606,11.7581690384892,-5.12149813053982,2.07406124833368e-05,7.16639602789631e-05,2.47656193232976
SMPDL3A,-1.36338399986462,8.76117072461973,-5.12126171638778,2.07539189300112e-05,7.1697051469805e-05,2.47593003216449
LSG1,-1.14138970533857,7.85694139448619,-5.11987734424845,2.08320095771637e-05,7.19538958176379e-05,2.47222981441113
SLC25A24,-1.63660462881673,4.97175080261564,-5.11959471337849,2.08479885960466e-05,7.19961524625464e-05,2.47147438578904
NSD2,-1.06763534089728,7.41945046032066,-5.11945164880705,2.0856081679794e-05,7.20111656418894e-05,2.47109199644166
CEP43,-1.14961430668148,7.27046501706786,-5.11926038486629,2.08669062959015e-05,7.20356030775194e-05,2.47058077781941
TIRAP,-1.2249163492912,6.43466747844177,-5.11841178643868,2.09150008488708e-05,7.21886698957885e-05,2.46831260882867
PGR,-1.67032607692438,3.3756423186146,-5.11796149006941,2.09405666385006e-05,7.22639371073728e-05,2.46710903939115
ARL8B,-1.00817086335293,9.06465416484258,-5.1178480027868,2.09470148744997e-05,7.22732162530972e-05,2.46680570636882
KIF16B,-1.28906427031898,7.66769413002281,-5.11728125035112,2.09792469989271e-05,7.23714379247037e-05,2.46529087031178
BTF3,-1.04178723647351,11.2859606018482,-5.11658280367498,2.10190371943042e-05,7.24956925117507e-05,2.4634240392792
RNF38,-1.39573705868334,8.10867838034307,-5.116298228949,2.10352709753636e-05,7.25386698657157e-05,2.46266341934323
FKBP7,-1.01573525993687,6.51659925739004,-5.11610276366439,2.10464287224013e-05,7.25641305932865e-05,2.46214097404223
